source,target,source_type,target_type
Comisión Europea,España,Organization,Place
España,Comisión Europea,Place,Organization
España,Ceuta,Place,Place
Ceuta,España,Place,Place
UE,Ceuta,Organization,Place
Ceuta,UE,Place,Organization
Toledo,España,Place,Place
Toledo,Europa,Place,Place
España,Toledo,Place,Place
España,Europa,Place,Place
Europa,Toledo,Place,Place
Europa,España,Place,Place
Cristóbal Halffter,Premio Nacional de Música,Person,Other
Premio Nacional de Música,Cristóbal Halffter,Other,Person
Katia,Zaragoza,Person,Place
Zaragoza,Katia,Place,Person
Pere Aragonès,Generalitat,Person,Organization
Generalitat,Pere Aragonès,Organization,Person
Europa,España,Place,Place
España,Europa,Place,Place
Certificado Digital UE Covid,España,Other,Place
España,Certificado Digital UE Covid,Place,Other
UK,Spain,Place,Place
UK,Spain,Place,Place
Spain,UK,Place,Place
Spain,Spain,Place,Place
Spain,UK,Place,Place
Spain,Spain,Place,Place
Reino Unido,España,Place,Place
España,Reino Unido,Place,Place
Cervantes,Francisco Brines,Person,Person
Francisco Brines,Cervantes,Person,Person
Spain,Brussels,Place,Place
Brussels,Spain,Place,Place
España,Europa,Place,Place
Europa,España,Place,Place
Salud de Vanguardia,España,Organization,Place
España,Salud de Vanguardia,Place,Organization
Premio Princesa de Asturias de Comunicación y Humanidades,Gloria Steinem,Other,Person
Gloria Steinem,Premio Princesa de Asturias de Comunicación y Humanidades,Person,Other
Ceuta,Melilla,Place,Place
Ceuta,España,Place,Place
Melilla,Ceuta,Place,Place
Melilla,España,Place,Place
España,Ceuta,Place,Place
España,Melilla,Place,Place
Policía Local,Gobierno de España,Organization,Organization
Gobierno de España,Policía Local,Organization,Organization
Baleares,Tarragona,Place,Place
Tarragona,Baleares,Place,Place
Marruecos,Ceuta,Place,Place
Marruecos,Melilla,Place,Place
Ceuta,Marruecos,Place,Place
Ceuta,Melilla,Place,Place
Melilla,Marruecos,Place,Place
Melilla,Ceuta,Place,Place
Ceuta,Melilla,Place,Place
Ceuta,España,Place,Place
Melilla,Ceuta,Place,Place
Melilla,España,Place,Place
España,Ceuta,Place,Place
España,Melilla,Place,Place
Ceuta,España,Place,Place
España,Ceuta,Place,Place
Afganistán,España,Place,Place
España,Afganistán,Place,Place
España,Pfizer,Place,Organization
Pfizer,España,Organization,Place
Macedonia del Norte,España,Place,Place
Macedonia del Norte,UE,Place,Organization
Macedonia del Norte,Balcanes Occidentales,Place,Place
España,Macedonia del Norte,Place,Place
España,UE,Place,Organization
España,Balcanes Occidentales,Place,Place
UE,Macedonia del Norte,Organization,Place
UE,España,Organization,Place
UE,Balcanes Occidentales,Organization,Place
Balcanes Occidentales,Macedonia del Norte,Place,Place
Balcanes Occidentales,España,Place,Place
Balcanes Occidentales,UE,Place,Organization
España,Cumbre de Glasgow,Place,Place
Cumbre de Glasgow,España,Place,Place
España,Argentina,Place,Place
España,Europa,Place,Place
España,Latinoamérica,Place,Place
Argentina,España,Place,Place
Argentina,Europa,Place,Place
Argentina,Latinoamérica,Place,Place
Europa,España,Place,Place
Europa,Argentina,Place,Place
Europa,Latinoamérica,Place,Place
Latinoamérica,España,Place,Place
Latinoamérica,Argentina,Place,Place
Latinoamérica,Europa,Place,Place
Atenas,Grecia,Place,Place
Atenas,España,Place,Place
Atenas,UE,Place,Organization
Grecia,Atenas,Place,Place
Grecia,España,Place,Place
Grecia,UE,Place,Organization
España,Atenas,Place,Place
España,Grecia,Place,Place
España,UE,Place,Organization
UE,Atenas,Organization,Place
UE,Grecia,Organization,Place
UE,España,Organization,Place
Oporto,UE,Place,Organization
UE,Oporto,Organization,Place
Estonia,UE,Place,Organization
Estonia,Europa,Place,Place
UE,Estonia,Organization,Place
UE,Europa,Organization,Place
Europa,Estonia,Place,Place
Europa,UE,Place,Organization
Europa,Certificado Verde Digital,Place,Other
Certificado Verde Digital,Europa,Other,Place
UE,Eslovaquia,Organization,Place
Eslovaquia,UE,Place,Organization
Eslovenia,Consejo de la UE,Place,Organization
Eslovenia,Med,Place,Place
Consejo de la UE,Eslovenia,Organization,Place
Consejo de la UE,Med,Organization,Place
Med,Eslovenia,Place,Place
Med,Consejo de la UE,Place,Organization
Oporto,España,Place,Place
España,Oporto,Place,Place
Ayuso,Madrid,Person,Place
Madrid,Ayuso,Place,Person
Madrid,Gobierno de Colón,Place,Organization
Madrid,PP y Vox,Place,Organization
Gobierno de Colón,Madrid,Organization,Place
Gobierno de Colón,PP y Vox,Organization,Organization
PP y Vox,Madrid,Organization,Place
PP y Vox,Gobierno de Colón,Organization,Organization
Madrid,Madrid,Place,Place
Madrid,Madrid,Place,Place
Comunidad de Madrid,Madrid,Organization,Place
Comunidad de Madrid,Madrid,Organization,Place
Comunidad de Madrid,Madrid,Organization,Place
