Id,Label,category
Comisión Europea,Comisión Europea,Organization
España,España,Place
España,España,Place
Ceuta,Ceuta,Place
UE,UE,Organization
Ceuta,Ceuta,Place
Toledo,Toledo,Place
España,España,Place
Europa,Europa,Place
Cristóbal Halffter,Cristóbal Halffter,Person
Premio Nacional de Música,Premio Nacional de Música,Other
Katia,Katia,Person
Zaragoza,Zaragoza,Place
Pere Aragonès,Pere Aragonès,Person
Generalitat,Generalitat,Organization
Europa,Europa,Place
España,España,Place
Certificado Digital UE Covid,Certificado Digital UE Covid,Other
España,España,Place
UK,UK,Place
Spain,Spain,Place
Spain,Spain,Place
Reino Unido,Reino Unido,Place
España,España,Place
Cervantes,Cervantes,Person
Francisco Brines,Francisco Brines,Person
Spain,Spain,Place
Brussels,Brussels,Place
España,España,Place
Europa,Europa,Place
Salud de Vanguardia,Salud de Vanguardia,Organization
España,España,Place
Premio Princesa de Asturias de Comunicación y Humanidades,Premio Princesa de Asturias de Comunicación y Humanidades,Other
Gloria Steinem,Gloria Steinem,Person
Ceuta,Ceuta,Place
Melilla,Melilla,Place
España,España,Place
Policía Local,Policía Local,Organization
Gobierno de España,Gobierno de España,Organization
Baleares,Baleares,Place
Tarragona,Tarragona,Place
Marruecos,Marruecos,Place
Ceuta,Ceuta,Place
Melilla,Melilla,Place
Ceuta,Ceuta,Place
Melilla,Melilla,Place
España,España,Place
Ceuta,Ceuta,Place
España,España,Place
Afganistán,Afganistán,Place
España,España,Place
España,España,Place
Pfizer,Pfizer,Organization
Macedonia del Norte,Macedonia del Norte,Place
España,España,Place
UE,UE,Organization
Balcanes Occidentales,Balcanes Occidentales,Place
España,España,Place
Cumbre de Glasgow,Cumbre de Glasgow,Place
España,España,Place
Argentina,Argentina,Place
Europa,Europa,Place
Latinoamérica,Latinoamérica,Place
Atenas,Atenas,Place
Grecia,Grecia,Place
España,España,Place
UE,UE,Organization
Oporto,Oporto,Place
UE,UE,Organization
Estonia,Estonia,Place
UE,UE,Organization
Europa,Europa,Place
Europa,Europa,Place
Certificado Verde Digital,Certificado Verde Digital,Other
UE,UE,Organization
Eslovaquia,Eslovaquia,Place
Eslovenia,Eslovenia,Place
Consejo de la UE,Consejo de la UE,Organization
Med,Med,Place
Oporto,Oporto,Place
España,España,Place
Ayuso,Ayuso,Person
Madrid,Madrid,Place
Madrid,Madrid,Place
Gobierno de Colón,Gobierno de Colón,Organization
PP y Vox,PP y Vox,Organization
Madrid,Madrid,Place
Madrid,Madrid,Place
Comunidad de Madrid,Comunidad de Madrid,Organization
Madrid,Madrid,Place
Madrid,Madrid,Place
Madrid,Madrid,Place
Spain,Spain,Place
Europe,Europe,Place
Economía Social y Solidaria,Economía Social y Solidaria,Other
España,España,Place
Rafael Moneo,Rafael Moneo,Person
Bienal de Venecia,Bienal de Venecia,Other
Janssen,Janssen,Person
Toledo,Toledo,Place
España,España,Place
Isabel Díaz,Isabel Díaz,Person
Ayuso,Ayuso,Person
María Gámez,María Gámez,Person
India,India,Place
España,España,Place
España,España,Place
Bélgica,Bélgica,Place
David Beriain,David Beriain,Person
Roberto Fraile,Roberto Fraile,Person
Burkina Faso,Burkina Faso,Place
España,España,Place
Reyes,Reyes,Person
Spain,Spain,Place
Latin America,Latin America,Place
Getafe,Getafe,Place
Madrid,Madrid,Place
Madrid,Madrid,Place
ACT-Accelerator,ACT-Accelerator,Organization
España,España,Place
US,US,Place
Spain,Spain,Place
EE.UU,EE.UU,Place
España,España,Place
Aragón,Aragón,Place
Castilla,Castilla,Place
León,León,Place
Marlaska,Marlaska,Person
Gámez,Gámez,Person
Iglesias,Iglesias,Person
España,España,Place
América Latina,América Latina,Place
Caribe,Caribe,Place
Portugal,Portugal,Place
América Latina,América Latina,Place
España,España,Place
Portugal,Portugal,Place
Andorra,Andorra,Place
Conferencia Iberoamericana,Conferencia Iberoamericana,Organization
Andorra,Andorra,Place
América Latina,América Latina,Place
Cumbre Iberoamericana,Cumbre Iberoamericana,Organization
Guatemala,Guatemala,Place
Tratado de París,Tratado de París,Other
Comunidad del Carbón,Comunidad del Carbón,Organization
Unión Europea,Unión Europea,Organization
Europa,Europa,Place
Madrid,Madrid,Place
Ángel Gabilondo,Ángel Gabilondo,Person
Gobierno de Colón,Gobierno de Colón,Organization
Madrid,Madrid,Organization
PP,PP,Organization
Madrid,Madrid,Place
Ferraz,Ferraz,Person
Madrid,Madrid,Place
España,España,Place
PP,PP,Organization
Gobierno de España,Gobierno de España,Organization
Vox,Vox,Organization
España,España,Place
UE,UE,Organization
Comisión Europea,Comisión Europea,Organization
España,España,Place
Ecuador,Ecuador,Place
Gobierno de España,Gobierno de España,Organization
Ley de Cambio Climático,Ley de Cambio Climático,Organization
España,España,Place
PP,PP,Organization
Vox,Vox,Organization
Madrid,Madrid,Place
España,España,Place
Spain,Spain,Place
Queen Elizabeth II,Queen Elizabeth II,Person
Prince Philip,Prince Philip,Person
Edinburgh,Edinburgh,Place
United Kingdom,United Kingdom,Place
África,África,Place
Destacamento Marfil,Destacamento Marfil,Place
Dakar,Dakar,Place
España,España,Place
Senegal,Senegal,Place
África,África,Place
España,España,Place
África,África,Place
Senegal,Senegal,Place
Senegal,Senegal,Place
España,España,Place
Ley de Cambio Climático,Ley de Cambio Climático,Organization
España,España,Place
Colegio Salesiano Don Bosco,Colegio Salesiano Don Bosco,Place
Luanda,Luanda,Place
España,España,Place
Angola,Angola,Place
Angola,Angola,Place
España,España,Place
Gobierno de España,Gobierno de España,Organization
Angola,Angola,Place
España,España,Place
FMI,FMI,Organization
EE.UU.,EE.UU.,Place
Argentina,Argentina,Place
Alberto,Alberto,Person
Comunidad de Madrid,Comunidad de Madrid,Place
Madrid,Madrid,Place
Madrid,Madrid,Place
Gobierno de Colón,Gobierno de Colón,Organization
Comunidad de Madrid,Comunidad de Madrid,Organization
Ferraz,Ferraz,Place
Ángel Gabilondo,Ángel Gabilondo,Person
África,África,Place
España,España,Place
Europa,Europa,Place
Colón,Colón,Place
PP,PP,Organization
VOX,VOX,Organization
