start;start_time;end;end_time;hashtag;date_format;time_format
22/08/2020;00:00:00;23/08/2020;00:00:00;#UCL;YYYY-MM-DD;HH:MM:SS
31/05/2019;00:00:00;03/06/2019;00:00:00;#UCL;YYYY-MM-DD;HH:MM:SS
25/05/2018;00:00:00;28/05/2018;00:00:00;#UCL;YYYY-MM-DD;HH:MM:SS
02/06/2017;00:00:00;05/06/2017;00:00:00;#UCL;YYYY-MM-DD;HH:MM:SS
27/05/2016;00:00:00;30/05/2016;00:00:00;#UCL;YYYY-MM-DD;HH:MM:SS
05/05/2015;00:00:00;08/05/2015;00:00:00;#UCL;YYYY-MM-DD;HH:MM:SS
23/05/2014;00:00:00;26/05/2014;00:00:00;#UCL;YYYY-MM-DD;HH:MM:SS
24/05/2013;00:00:00;27/05/2013;00:00:00;#UCL;YYYY-MM-DD;HH:MM:SS
18/05/2012;00:00:00;21/05/2012;00:00:00;#UCL;YYYY-MM-DD;HH:MM:SS

